block,start_date,len,end_date
1,7/1/2022,13,7/14/2022
1.5,7/14/2022,14,7/28/2022
2,7/28/2022,14,8/11/2022
2.5,8/11/2022,14,8/25/2022
3,8/25/2022,14,9/8/2022
3.5,9/8/2022,14,9/22/2022
4,9/22/2022,14,10/6/2022
4.5,10/6/2022,14,10/20/2022
5,10/20/2022,14,11/3/2022
5.5,11/3/2022,14,11/17/2022
6,11/17/2022,14,12/1/2022
6.5,12/1/2022,14,12/15/2022
7,12/15/2022,14,12/29/2022
7.5,12/29/2022,14,1/12/2023
8,1/12/2023,14,1/26/2023
8.5,1/26/2023,14,2/9/2023
9,2/9/2023,14,2/23/2023
9.5,2/23/2023,14,3/9/2023
10,3/9/2023,14,3/23/2023
10.5,3/23/2023,14,4/6/2023
11,4/6/2023,14,4/20/2023
11.5,4/20/2023,14,5/4/2023
12,5/4/2023,14,5/18/2023
12.5,5/18/2023,14,6/1/2023
13,6/1/2023,14,6/15/2023
13.5,6/15/2023,16,7/1/2023
